,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
693,Fugitive Emiss.,11_07,0.0,315.0,7033306.0,426134.0,6607172.0,0.06058800797235326
694,Fugitive Emiss.,11_08,0.0,5749.0,7033306.0,431883.0,6601423.0,0.06140540451389432
695,Fugitive Emiss.,11_09,0.0,4015.0,7033306.0,435898.0,6597408.0,0.06197625981295283
696,Fugitive Emiss.,11_10,20940.0,105000.0,7054246.0,540898.0,6513348.0,0.07667694038455705
697,Fugitive Emiss.,11_11,192715.0,2901.0,7246961.0,543799.0,6703162.0,0.07503821256937908
698,Fugitive Emiss.,11_12,220481.0,258576.0,7467442.0,802375.0,6665067.0,0.10744977999159551
699,Fugitive Emiss.,12_01,0.0,63123.0,7467442.0,865498.0,6601944.0,0.11590287544248754
700,Fugitive Emiss.,12_02,0.0,190.0,7467442.0,865688.0,6601754.0,0.11592831922899435
701,Fugitive Emiss.,12_03,0.0,4593.0,7467442.0,870281.0,6597161.0,0.11654338928913006
702,Fugitive Emiss.,12_04,0.0,242824.0,7467442.0,1113105.0,6354337.0,0.1490610841034989
703,Fugitive Emiss.,12_05,0.0,7550.0,7467442.0,1120655.0,6346787.0,0.1500721398304801
704,Fugitive Emiss.,12_06,49962.0,48264.0,7517404.0,1168919.0,6348485.0,0.15549503525419148
705,Fugitive Emiss.,12_07,0.0,131.0,7517404.0,1169050.0,6348354.0,0.15551246148271397
706,Fugitive Emiss.,12_08,19243.0,36234.0,7536647.0,1205284.0,6331363.0,0.15992310638935325
707,Fugitive Emiss.,12_09,0.0,5906.0,7536647.0,1211190.0,6325457.0,0.16070674399371498
708,Fugitive Emiss.,12_10,0.0,2492.0,7536647.0,1213682.0,6322965.0,0.16103739501133593
709,Fugitive Emiss.,12_11,0.0,32224.0,7536647.0,1245906.0,6290741.0,0.1653130364205727
710,Fugitive Emiss.,12_12,56111.0,9044.0,7592758.0,1254950.0,6337808.0,0.16528249682131316
711,Fugitive Emiss.,13_01,0.0,30.0,7592758.0,1254980.0,6337778.0,0.16528644795474845
712,Fugitive Emiss.,13_02,0.0,3737.0,7592758.0,1258717.0,6334041.0,0.16577862747633995
713,Fugitive Emiss.,13_03,0.0,90168.0,7592758.0,1348885.0,6243873.0,0.17765415412950078
